Name,B,F,Var,HD,HIP,RA,Dec,vis.mag.,abs.mag.,Dist. (ly),Sp. class,Notes,,ORDER tracé edges,RA2 h str,RA2 h nb,RA2 mn str,RA2 mn nb,RA2 sec str,RA2 sec nb,Dec2 h str,Dec2 h nb,Dec2 mn str,Dec2 mn nb,Dec2 sec str,Dec2 sec nb,RA2 h.,Dec2 deg.
ε UMa,ε,77,,112185,62956,12h 54m 01.63s,+55° 57′ 35.4″,1.77,−0.21,81,A0p,Alioth; brown dwarf companion?; α² CVn variable,,3,12,12, 54,54, 01.63,1.63,+55,55, 57,57, 35.4,35.4,12.9004527777778,55.9598333333333
α UMa,α,50,,95689,54061,11h 03m 43.84s,+61° 45′ 04.0″,1.79,−1.08,124,F7V comp,"Dubhe, Dubh, Dubb, Thahr al Dub al Akbar, Ak",,7,11,11, 03,3, 43.84,43.84,+61,61, 45,45, 04.0,4,11.0621777777778,61.7511111111111
η UMa,η,85,,120315,67301,13h 47m 32.55s,+49° 18′ 47.9″,1.86,−0.60,101,B3V SB,"Benetnasch, Alkaid, Elkeid",,1,13,13, 47,47, 32.55,32.55,+49,49, 18,18, 47.9,47.9,13.792375,49.3133055555556
Mizar A,ζ1,79,,116656,65378,13h 23m 55.54s,+54° 55′ 31.3″,2.23,0.32,83,A2V SB,"spectroscopic binary, the Mizar pair also form a naked eye double with Alcor",,2,13,13, 23,23, 55.54,55.54,+54,54, 55,55, 31.3,31.3,13.3987611111111,54.9253611111111
β UMa,β,48,,95418,53910,11h 01m 50.39s,+56° 22′ 56.4″,2.37,0.41,79,A1V,"Merak, Mirak",,6,11,11, 01,1, 50.39,50.39,+56,56, 22,22, 56.4,56.4,11.0306638888889,56.3823333333333
γ UMa,γ,64,,103287,58001,11h 53m 49.74s,+53° 41′ 41.0″,2.44,0.36,84,A0V SB,"Phad, Phecda, Phegda, Phekha, Phacd",,5,11,11, 53,53, 49.74,49.74,+53,53, 41,41, 41.0,41,11.89715,53.6947222222222
ψ UMa,ψ,52,,96833,54539,11h 09m 39.86s,+44° 29′ 54.8″,3.01,−0.27,147,K1III,Ta Tsun,,,11,11, 09,9, 39.86,39.86,+44,44, 29,29, 54.8,54.8,11.1610722222222,44.4985555555556
μ UMa,μ,34,,89758,50801,10h 22m 19.80s,+41° 29′ 58.0″,3.06,−1.35,249,M0III SB,"Tania Australis, Alkafzah Australis; semiregular variable",,,10,10, 22,22, 19.80,19.8,+41,41, 29,29, 58.0,58,10.3721666666667,41.4994444444444
θ UMa,θ,25,,82328,46853,09h 32m 52.33s,+51° 40′ 43.0″,3.12,2.52,44,F6IV,"Al Haud, Sarir, Sarir Bonet",,,09,9, 32,32, 52.33,52.33,+51,51, 40,40, 43.0,43,9.54786944444444,51.6786111111111
ι UMa,ι,9,,76644,44127,08h 59m 12.84s,+48° 02′ 32.5″,3.14,2.29,48,A7IV,"Talitha, Dnoces, Alphikra Borealis; quadruple star",,,08,8, 59,59, 12.84,12.84,+48,48, 02,2, 32.5,32.5,8.9869,48.0423611111111
